Saved sample_ids      (53973,) → /Users/jiayichiyun/Code/deep-gw-cnv/models/experiments/43/../../../data/results/43_06convvae_beta4_18cnvcaller/sample_ids.npy
Fitting HMM segments...
Fitting HMM for 53973 samples (n_jobs=-1)...
  HMM 500/53973 | elapsed 30s | eta 3209s
  HMM 1000/53973 | elapsed 60s | eta 3181s
  HMM 1500/53973 | elapsed 90s | eta 3135s
  HMM 2000/53973 | elapsed 123s | eta 3196s
  HMM 2500/53973 | elapsed 150s | eta 3094s
  HMM 3000/53973 | elapsed 173s | eta 2940s
  HMM 3500/53973 | elapsed 201s | eta 2897s
  HMM 4000/53973 | elapsed 226s | eta 2823s
  HMM 4500/53973 | elapsed 252s | eta 2767s
  HMM 5000/53973 | elapsed 284s | eta 2782s
  HMM 5500/53973 | elapsed 310s | eta 2733s
  HMM 6000/53973 | elapsed 337s | eta 2694s
  HMM 6500/53973 | elapsed 359s | eta 2622s
  HMM 7000/53973 | elapsed 391s | eta 2621s
  HMM 7500/53973 | elapsed 417s | eta 2586s
  HMM 8000/53973 | elapsed 448s | eta 2572s
  HMM 8500/53973 | elapsed 469s | eta 2509s
  HMM 9000/53973 | elapsed 486s | eta 2428s
  HMM 9500/53973 | elapsed 508s | eta 2379s
  HMM 10000/53973 | elapsed 533s | eta 2345s
  HMM 10500/53973 | elapsed 570s | eta 2358s
  HMM 11000/53973 | elapsed 597s | eta 2333s
  HMM 11500/53973 | elapsed 621s | eta 2292s
  HMM 12000/53973 | elapsed 646s | eta 2261s
  HMM 12500/53973 | elapsed 670s | eta 2223s
  HMM 13000/53973 | elapsed 697s | eta 2195s
  HMM 13500/53973 | elapsed 727s | eta 2180s
  HMM 14000/53973 | elapsed 755s | eta 2156s
  HMM 14500/53973 | elapsed 783s | eta 2130s
  HMM 15000/53973 | elapsed 820s | eta 2132s
  HMM 15500/53973 | elapsed 862s | eta 2139s
  HMM 16000/53973 | elapsed 896s | eta 2126s
  HMM 16500/53973 | elapsed 920s | eta 2090s
  HMM 17000/53973 | elapsed 954s | eta 2075s
  HMM 17500/53973 | elapsed 982s | eta 2047s
  HMM 18000/53973 | elapsed 1009s | eta 2017s
  HMM 18500/53973 | elapsed 1036s | eta 1987s
  HMM 19000/53973 | elapsed 1061s | eta 1953s
  HMM 19500/53973 | elapsed 1090s | eta 1927s
  HMM 20000/53973 | elapsed 1114s | eta 1893s
  HMM 20500/53973 | elapsed 1143s | eta 1866s
  HMM 21000/53973 | elapsed 1170s | eta 1837s
  HMM 21500/53973 | elapsed 1203s | eta 1817s
  HMM 22000/53973 | elapsed 1234s | eta 1793s
  HMM 22500/53973 | elapsed 1265s | eta 1769s
  HMM 23000/53973 | elapsed 1304s | eta 1756s
  HMM 23500/53973 | elapsed 1329s | eta 1723s
  HMM 24000/53973 | elapsed 1355s | eta 1693s
  HMM 24500/53973 | elapsed 1386s | eta 1668s
  HMM 25000/53973 | elapsed 1418s | eta 1643s
  HMM 25500/53973 | elapsed 1450s | eta 1619s
  HMM 26000/53973 | elapsed 1477s | eta 1589s
  HMM 26500/53973 | elapsed 1507s | eta 1563s
  HMM 27000/53973 | elapsed 1542s | eta 1541s
  HMM 27500/53973 | elapsed 1572s | eta 1513s
  HMM 28000/53973 | elapsed 1610s | eta 1493s
  HMM 28500/53973 | elapsed 1643s | eta 1469s
  HMM 29000/53973 | elapsed 1679s | eta 1446s
  HMM 29500/53973 | elapsed 1714s | eta 1422s
  HMM 30000/53973 | elapsed 1741s | eta 1391s
  HMM 30500/53973 | elapsed 1775s | eta 1366s
  HMM 31000/53973 | elapsed 1812s | eta 1343s
  HMM 31500/53973 | elapsed 1845s | eta 1317s
  HMM 32000/53973 | elapsed 1876s | eta 1288s
  HMM 32500/53973 | elapsed 1915s | eta 1265s
  HMM 33000/53973 | elapsed 1941s | eta 1234s
  HMM 33500/53973 | elapsed 1967s | eta 1202s
  HMM 34000/53973 | elapsed 2002s | eta 1176s
  HMM 34500/53973 | elapsed 2043s | eta 1153s
  HMM 35000/53973 | elapsed 2081s | eta 1128s
  HMM 35500/53973 | elapsed 2106s | eta 1096s
  HMM 36000/53973 | elapsed 2135s | eta 1066s
  HMM 36500/53973 | elapsed 2173s | eta 1040s
  HMM 37000/53973 | elapsed 2205s | eta 1011s
  HMM 37500/53973 | elapsed 2238s | eta 983s
  HMM 38000/53973 | elapsed 2262s | eta 951s
  HMM 38500/53973 | elapsed 2290s | eta 920s
  HMM 39000/53973 | elapsed 2319s | eta 890s
  HMM 39500/53973 | elapsed 2344s | eta 859s
  HMM 40000/53973 | elapsed 2376s | eta 830s
  HMM 40500/53973 | elapsed 2408s | eta 801s
  HMM 41000/53973 | elapsed 2440s | eta 772s
  HMM 41500/53973 | elapsed 2470s | eta 742s
  HMM 42000/53973 | elapsed 2499s | eta 712s
  HMM 42500/53973 | elapsed 2520s | eta 680s
  HMM 43000/53973 | elapsed 2549s | eta 651s
  HMM 43500/53973 | elapsed 2591s | eta 624s
  HMM 44000/53973 | elapsed 2621s | eta 594s
  HMM 44500/53973 | elapsed 2655s | eta 565s
  HMM 45000/53973 | elapsed 2682s | eta 535s
  HMM 45500/53973 | elapsed 2706s | eta 504s
  HMM 46000/53973 | elapsed 2733s | eta 474s
  HMM 46500/53973 | elapsed 2747s | eta 441s
  HMM 47000/53973 | elapsed 2768s | eta 411s
  HMM 47500/53973 | elapsed 2807s | eta 383s
  HMM 48000/53973 | elapsed 2839s | eta 353s
  HMM 48500/53973 | elapsed 2876s | eta 325s
  HMM 49000/53973 | elapsed 2912s | eta 296s
  HMM 49500/53973 | elapsed 2948s | eta 266s
  HMM 50000/53973 | elapsed 2989s | eta 238s
  HMM 50500/53973 | elapsed 3029s | eta 208s
  HMM 51000/53973 | elapsed 3054s | eta 178s
  HMM 51500/53973 | elapsed 3069s | eta 147s
  HMM 52000/53973 | elapsed 3090s | eta 117s
  HMM 52500/53973 | elapsed 3124s | eta 88s
